uri,author,replying_to,text,created_at,depth,likes,reposts
at://did:plc:zclgpwg6sdp7bpkxnzqlxwcm/app.bsky.feed.post/3mllx4dc3uc25,fedup90611.bsky.social,acyn.bsky.social,"Him not being worried about it, is what worries me.",2026-05-11T18:53:52.990Z,1,96,2
at://did:plc:3cava7ptdy2jzdgnqdh6zkta/app.bsky.feed.post/3mllyrm7gt22w,demare.bsky.social,dpsl.bsky.social,The clinicians are saying that this new virus (which is not in any way new) is not nearly as contagious WRT human to human transmission.,2026-05-11T19:23:40.725Z,3,11,1
at://did:plc:q6tcw5kynnse2r63zdxkcelt/app.bsky.feed.post/3mlokp4rqbs2c,tezzerrk.bsky.social,demare.bsky.social,But as it has a six to eight week period before symptoms appear after infection and a >40% kill rate it could be far worse than Covid if possible carriers are not properly isolated!,2026-05-12T19:49:44.268Z,4,1,0
at://did:plc:oumtknf7cbhjzhy6fq2lc5wh/app.bsky.feed.post/3mlm7uc52e22g,turningphrases.bsky.social,demare.bsky.social,They were telling us covid wasn't contagious unless you had close contact as well for a while,2026-05-11T21:30:27.016Z,4,23,1
at://did:plc:tf56lzz4xco6jhrgnqdqw7ku/app.bsky.feed.post/3mlmsqjh7lk2t,xocomaox.bsky.social,turningphrases.bsky.social,"But these are completely different viruses and we have pretty good data on this ""new one"" since it isn't new.",2026-05-12T03:08:21.567Z,5,9,0
at://did:plc:vdfub6wb65ab6odqjeu642zz/app.bsky.feed.post/3mlmtgolums2i,dianasplace.bsky.social,xocomaox.bsky.social,"True. However, this virus seems to be transmitted easier than originally thought. Maybe because previous cases were isolated to one person/home. This may be the first time ppl were infected and then brought it to a relatively populated, confined area like a ship.",2026-05-12T03:20:45.160Z,6,11,0
at://did:plc:b7vplx6yhyc3kwabtzvyvt7o/app.bsky.feed.post/3mln44756hc2n,matsniffo.bsky.social,dianasplace.bsky.social,I don't worry about the virus being possible to contain. I worry about TFG admin being responsible for containing it.,2026-05-12T05:55:57.080Z,7,11,0
at://did:plc:tf56lzz4xco6jhrgnqdqw7ku/app.bsky.feed.post/3mlnpnmuxp22k,xocomaox.bsky.social,matsniffo.bsky.social,"They're the party of anti-science.

What could go wrong ?",2026-05-12T11:45:43.013Z,8,7,0
at://did:plc:lsd2djttklqjr52boms7l4lo/app.bsky.feed.post/3mlnsvtgopc2i,tinni-tus.bsky.social,xocomaox.bsky.social,"Also it was well known that Coronaviruses had the potential to go pandemic even before Covid, it was pretty much thought that the next pandemic will be either a Coronavirus or a Flu.

The same isnt true for Hantaviruses.",2026-05-12T12:43:59.546Z,6,2,0
at://did:plc:tf56lzz4xco6jhrgnqdqw7ku/app.bsky.feed.post/3mlo5wqfcyc25,xocomaox.bsky.social,tinni-tus.bsky.social,I agree. It was very obvious to the scientific community.,2026-05-12T16:01:21.070Z,7,2,0
