author,meanCompound,postCount,majorityLabel
alisonchains.bsky.social,-0.2263,1,negative
alisonrobin.com,-0.7982,2,negative
alissa914.bsky.social,0.031157142857142852,7,neutral
aliwoolwich.bsky.social,0.0,1,neutral
aliz1.bsky.social,0.8567,1,positive
aljazeera.com,0.008271428571428572,7,neutral
all-a-mort.bsky.social,0.8271,1,positive
all-mischief.bsky.social,0.7269,1,positive
allanboroughs.bsky.social,0.0,1,neutral
allen415186.bsky.social,-0.0772,1,negative
allenbussell.bsky.social,-0.5423,1,negative
allenidaho.bsky.social,0.0,1,neutral
alligatortakes.bsky.social,-0.7184,1,negative
allij.bsky.social,-0.4855333333333333,3,negative
allkappps.bsky.social,-0.4588,1,negative
allowmyself.bsky.social,0.5411,1,positive
allthewilburys.bsky.social,0.4939,1,positive
allymae.bsky.social,-0.5423,1,negative
almarie-1.bsky.social,-0.6808,1,negative
almightrex.bsky.social,0.2171,6,positive
alonsonichols.bsky.social,-0.125,2,negative
alpenglowdreams.bsky.social,0.5562,1,positive
alpha-aurora.bsky.social,-0.6991,1,negative
alphanunu.bsky.social,-0.296,1,negative
alphatozulu.bsky.social,0.11872,10,positive
alpineolive.bsky.social,-0.4767,1,negative
alprather.bsky.social,-0.3826,1,negative
altcdc.altgov.info,0.16249545454545455,22,positive
alterhate.bsky.social,-0.5859,1,negative
altimeter3835.bsky.social,0.4404,1,positive
altnoaa.bsky.social,-0.1307125,8,negative
altocumulous.bsky.social,0.0,1,neutral
alun.pw,0.0,1,neutral
alwaysadorecats.bsky.social,-0.8176,1,negative
alwayserked.bsky.social,0.0,1,neutral
alxindia.bsky.social,0.4329,1,positive
alyssaur.bsky.social,0.0,1,neutral
amandamull.bsky.social,-0.0386,2,negative
amandapatperez.bsky.social,-0.08197499999999999,4,neutral
amandarachelle.bsky.social,0.0,1,neutral
amandarg12.bsky.social,-0.2681,1,negative
amazingmagda.bsky.social,-0.7845,1,negative
amberglas.bsky.social,0.4927,1,positive
amberspeaks.bsky.social,-0.41285000000000005,2,negative
amcatanzaro.bsky.social,-0.7906,1,negative
amdo.bsky.social,0.3234,1,positive
ameliamagjik.bsky.social,0.06484999999999999,2,positive
amenak.bsky.social,-0.4184,1,negative
ameracadpeds.bsky.social,-0.726,1,negative
americaisdoomed.bsky.social,-0.2732,1,negative
americanascrapbook.bsky.social,0.064,2,positive
americanvagabond.bsky.social,0.0,1,neutral
americasmostwanted.bsky.social,0.5106,1,positive
amerliberal.bsky.social,0.20815,4,positive
ameshaa.bsky.social,0.0,1,neutral
amickj.bsky.social,-0.4404,1,negative
amishsupermodel.bsky.social,0.8091,1,positive
amistad97.bsky.social,-0.2263,1,negative
amithibedeau.bsky.social,0.3412,1,positive
amklann.bsky.social,-0.6808,1,negative
amkrdea.bsky.social,0.1119,2,neutral
amockingbird.bsky.social,-0.26202000000000003,5,negative
