videoId,title,description,channelTitle,channelId,publishedAt,searchQuery,url,viewCount,likeCount,commentCount,commentsFetched,year,year_month,channel_type
xypDBTMPH8M,Hantavirus Update. Everyone take a breath. #hantavirus  #virus  #doctor #anxiety,,Dr. Dan: Pediatrician,UCFtg8oLDaOhDiBWZH4Qcoig,2026-05-15 21:25:22+00:00,hantavirus update,https://www.youtube.com/watch?v=xypDBTMPH8M,44135,544,87,36,2026,2026-05,medical_expert
QKZCjuIWMQI,Hantavirus Update 05/14/26: Good News for Americans?,Source- World Health Organization An American passenger evacuated from the MV Hondius cruise ship experienced a shift in his ...,Dr Sermed Mezher,UC2A6IJQ6AZaK_f_r24his6g,2026-05-14 18:47:51+00:00,hantavirus update,https://www.youtube.com/watch?v=QKZCjuIWMQI,258568,12039,528,250,2026,2026-05,news_media
b9wU89vqtOs,Canadian tests positive for hantavirus after returning from cruise ship: BC officials,"At a press conference on Saturday, B.C. health officials say one of four Canadians isolating after returning from the MV Hondius ...",Global News,UChLtXXpo4Ge1ReTEboVvTDg,2026-05-16 19:33:14+00:00,hantavirus update,https://www.youtube.com/watch?v=b9wU89vqtOs,26781,291,428,147,2026,2026-05,news_media
Wzwf3phTHN0,Hantavirus UPDATE: Health Officials WARN Of Dangerous Variants,Hantavirus Spreading Faster Than Expected | Experts WORRIED Popular Video Content: US News: - http://bit.ly/USworldnews ...,Snyder Reports,UCGSS2mBuqH5MGDLP0Q5C7Kw,2026-05-15 15:00:49+00:00,hantavirus update,https://www.youtube.com/watch?v=Wzwf3phTHN0,39895,2202,627,422,2026,2026-05,medical_expert
By1LDwI9qlM,Emergency Of International Concern | High Risk Individuals WARNED To Stay Home,Emergency Of International Concern | High Risk Individuals WARNED To Stay Home Popular Video Content: US News: ...,Snyder Reports,UCGSS2mBuqH5MGDLP0Q5C7Kw,2026-05-17 15:00:13+00:00,hantavirus update,https://www.youtube.com/watch?v=By1LDwI9qlM,30432,1999,517,334,2026,2026-05,general_trending
voiuEKaBs1I,"Hantavirus update, PCOS name change, ‘cheeky’ fish behavior | Science Quickly Podcast","In this episode of Science Quickly, we get the latest on the hantavirus outbreak with Tanya Lewis, Scientific American's senior ...",Scientific American,UC_xYMXx_-mAzheKyEtwtCAQ,2026-05-18 13:01:22+00:00,hantavirus update,https://www.youtube.com/watch?v=voiuEKaBs1I,206,26,4,3,2026,2026-05,medical_expert
moMogbmIb2c,Hanta Virus Alert | World Health Organization Issues Update on Hanta Virus,The World Health Organization has assessed the global risk from the ongoing Hanta virus outbreak and confirmed that the threat ...,Gulf News Updates,UCJgoZmmahRJ1osBLxefS8jw,2026-05-18 11:58:38+00:00,hantavirus update,https://www.youtube.com/watch?v=moMogbmIb2c,1435,19,0,0,2026,2026-05,news_media
l1kkW15iLMw,BREAKING NEW HANTAVIRUS CRUISE UPDATES,We talk through breaking cruise news regarding Hantavirus outbreak onboard a cruise ship that is actively being monitored ...,JJ Cruise,UC0acrAIjquvyv0K_Rw_0KgQ,2026-05-17 15:30:24+00:00,hantavirus update,https://www.youtube.com/watch?v=l1kkW15iLMw,8062,702,77,42,2026,2026-05,general_trending
yZTMkyq6fyY,What is hantavirus and how is it spread? | BBC News,"Three people have died after a suspected hantavirus outbreak on a cruise ship sailing in the Atlantic Ocean, according to the ...",BBC News,UC16niRr50-MSBwiO3YDb3RA,2026-05-05 17:01:16+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=yZTMkyq6fyY,2085951,31208,6126,1063,2026,2026-05,news_media
Npe9CPjVcA0,What you need to know about Hantavirus | BBC News,The outbreak of hantavirus on a cruise ship carrying passengers from across the world is a situation that authorities say they are ...,BBC News,UC16niRr50-MSBwiO3YDb3RA,2026-05-08 20:30:04+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=Npe9CPjVcA0,160296,1858,604,318,2026,2026-05,news_media
